curso_academico,poblacion,des_provincia_centro_sec,nota_media,nota_minima,nota_maxima,percentil_25,percentil_50,percentil_75
2017-18,Muy densa,Ciudad Real,,,,,,
2017-18,Muy densa,Pontevedra,,,,,,
2017-18,Muy densa,Álava,,,,,,
2017-18,Muy densa,Segovia,,,,,,
2017-18,Muy densa,Albacete,,,,,,
2017-18,Muy densa,Santa Cruz de Tenerife,,,,,,
2017-18,Muy densa,Murcia,,,,,,
2017-18,Muy densa,Valladolid,,,,,,
2017-18,Muy densa,Cantabria,,,,,,
2017-18,Muy densa,La Rioja,,,,,,
2017-18,Muy densa,Huelva,,,,,,
2017-18,Muy densa,Ávila,,,,,,
2017-18,Muy densa,Gipuzkoa,,,,,,
2017-18,Muy densa,Málaga,11.183985294117647,6.307,13.75,9.614999999999998,11.633500000000002,12.543750000000001
2017-18,Muy densa,Cáceres,,,,,,
2017-18,Muy densa,Soria,,,,,,
2017-18,Muy densa,Jaén,,,,,,
2017-18,Muy densa,Huesca,,,,,,
2017-18,Muy densa,Castellón,,,,,,
2017-18,Muy densa,Alicante,,,,,,
2017-18,Muy densa,Ceuta,,,,,,
2017-18,Muy densa,Palencia,,,,,,
2017-18,Muy densa,Badajoz,,,,,,
2017-18,Muy densa,Asturias,,,,,,
2017-18,Muy densa,Orense,,,,,,
2017-18,Muy densa,Granada,,,,,,
2017-18,Muy densa,Lugo,,,,,,
2017-18,Muy densa,Bizkaia,,,,,,
2017-18,Muy densa,Almería,,,,,,
2017-18,Muy densa,Valencia,10.10209090909091,5.422,12.873,8.968,10.198,11.562
2017-18,Muy densa,Melilla,,,,,,
2017-18,Muy densa,Cuenca,,,,,,
2017-18,Muy densa,La Coruña,,,,,,
2017-18,Muy densa,Navarra,,,,,,
2017-18,Muy densa,Sevilla,10.674048387096775,5.55,13.74,8.85925,11.3425,12.471
2017-18,Muy densa,Barcelona,9.491058823529412,5.8,12.792,7.992,9.324,11.48
2017-18,Muy densa,Tarragona,,,,,,
2017-18,Muy densa,Zamora,,,,,,
