curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2028,0,0,0,0,1,0,1,0,0,0,,5173905,3586,
2028,0,0,0,0,1,1,0,0,0,0,,5173905,3586,
2028,0,0,0,0,1,1,1,1,1,1,,5173905,3586,
2028,0,0,0,1,0,0,0,0,0,1,,9823401,3046,
2028,0,0,0,1,0,0,0,0,1,0,,9823401,3046,
2028,0,0,0,1,0,0,0,1,0,0,,9823401,3046,
2028,0,0,0,1,0,0,1,0,0,0,,9823401,3046,
2028,0,0,0,1,0,1,0,0,0,0,,9823401,3046,
2028,0,0,0,1,0,1,1,1,1,1,,9823401,3046,
2028,0,0,1,0,0,0,0,0,0,1,,11210076,2669,
2028,0,0,1,0,0,0,0,0,1,0,,11210076,2669,
2028,0,0,1,0,0,0,0,1,0,0,,11210076,2669,
2028,0,0,1,0,0,0,1,0,0,0,,11210076,2669,
2028,0,0,1,0,0,1,0,0,0,0,,11210076,2669,
2028,0,0,1,0,0,1,1,1,1,1,,11210076,2669,
2028,0,1,0,0,0,0,0,0,0,1,,10409932,3028,
2028,0,1,0,0,0,0,0,0,1,0,,10409932,3028,
2028,0,1,0,0,0,0,0,1,0,0,,10409932,3028,
2028,0,1,0,0,0,0,1,0,0,0,,10409932,3028,
2028,0,1,0,0,0,1,0,0,0,0,,10409932,3028,
2028,0,1,0,0,0,1,1,1,1,1,,10409932,3028,
2028,1,0,0,0,0,0,0,0,0,1,,7643551,1552,
2028,1,0,0,0,0,0,0,0,1,0,,7643551,1552,
2028,1,0,0,0,0,0,0,1,0,0,,7643551,1552,
2028,1,0,0,0,0,0,1,0,0,0,,7643551,1552,
2028,1,0,0,0,0,1,0,0,0,0,,7643551,1552,
2028,1,0,0,0,0,1,1,1,1,1,,7643551,1552,
