universidad,curso_academico,poblacion,count,Total,total_todos,porcentaje_todos
ucm,2020-21,Moderadamente densa,15731,10799140,11896408,0.0013223319173316854
ucm,2020-21,Muy densa,25793,7750859,7750859,0.003327760187612754
ucm,2020-21,Muy poco densa,3792,1922454,5690617,0.000666360080110821
ucm,2020-21,Poco densa,8621,7955560,10824093,0.0007964639623846544
ucm,2021-22,Densa,10980,11216339,11216339,0.0009789290427117084
ucm,2021-22,Moderadamente densa,15179,10832375,11921999,0.0012731925241731693
ucm,2021-22,Muy densa,24604,7668824,7668824,0.0032083145994744435
ucm,2021-22,Muy poco densa,3600,1835708,5687092,0.0006330124429145863
ucm,2021-22,Poco densa,8184,7888683,10890853,0.0007514562908892444
ucm,2022-23,Densa,10791,11298873,11298873,0.0009550510037594015
ucm,2022-23,Moderadamente densa,14687,11074743,11956985,0.0012283196809229082
ucm,2022-23,Muy densa,23814,7643551,7643551,0.00311556762033772
ucm,2022-23,Muy poco densa,3340,1782350,5702428,0.0005857154180640247
ucm,2022-23,Poco densa,7940,7631936,10873583,0.0007302100880638884
urjc,2017-18,Densa,11681,10642170,10984725,0.0010633857470259838
urjc,2017-18,Moderadamente densa,8694,9975554,11473726,0.0007577311851442156
urjc,2017-18,Muy densa,13922,7514972,7514972,0.0018525684460301381
urjc,2017-18,Muy poco densa,2958,1513111,5745500,0.0005148376990688364
urjc,2017-18,Poco densa,4665,6592280,10853209,0.00042982679132042885
urjc,2018-19,Densa,11886,11126817,11126817,0.001068230024813026
urjc,2018-19,Moderadamente densa,9339,9956962,11529380,0.0008100175378034205
urjc,2018-19,Muy densa,14246,7561707,7561707,0.0018839661467972774
urjc,2018-19,Muy poco densa,3160,1638530,5710686,0.0005533485819391926
urjc,2018-19,Poco densa,5146,6978087,10794390,0.00047672911577217425
urjc,2019-20,Densa,12604,11196460,11196460,0.0011257129485569546
urjc,2019-20,Moderadamente densa,10600,10211454,11694079,0.0009064416274252979
urjc,2019-20,Muy densa,15278,7635419,7635419,0.0020009379969848414
urjc,2019-20,Muy poco densa,3133,1646941,5699628,0.0005496849969857682
urjc,2019-20,Poco densa,5604,7060140,10800622,0.0005188590064535172
urjc,2020-21,Densa,11441,11288818,11288818,0.0010134807736292674
urjc,2020-21,Moderadamente densa,10074,10556925,11896408,0.0008468102304493928
urjc,2020-21,Muy densa,13726,7750859,7750859,0.0017709004898682843
urjc,2020-21,Muy poco densa,2836,1601320,5690617,0.0004983642371292954
urjc,2020-21,Poco densa,5041,7018069,10824093,0.0004657203148568661
urjc,2021-22,Densa,11625,11216339,11216339,0.0010364344372972322
urjc,2021-22,Moderadamente densa,9884,11068290,11921999,0.0008290555971360172
urjc,2021-22,Muy densa,13361,7668824,7668824,0.0017422488767508551
urjc,2021-22,Muy poco densa,2596,1645922,5687092,0.0004564723060572961
urjc,2021-22,Poco densa,5418,7397530,10890853,0.0004974816940417798
urjc,2022-23,Densa,11588,11298873,11298873,0.0010255890122846765
urjc,2022-23,Moderadamente densa,9730,10991879,11956985,0.0008137502890569821
urjc,2022-23,Muy densa,12928,7643551,7643551,0.001691360468452425
urjc,2022-23,Muy poco densa,2506,1622489,5702428,0.00043946192744564246
