curso_academico,des_provincia_centro_sec,nota_media
2017-18,La Coruña,10.781951086956521
2017-18,Albacete,11.191217105263158
2017-18,Alicante,10.780513011152417
2017-18,Almería,11.510046357615895
2017-18,Asturias,10.57682608695652
2017-18,Badajoz,10.704599277978339
2017-18,Barcelona,9.002439024390245
2017-18,Burgos,10.530172619047619
2017-18,Cantabria,10.747432098765433
2017-18,Castellón,10.170819999999999
2017-18,Ceuta,10.143777777777778
2017-18,Ciudad Real,10.602565217391305
2017-18,Cuenca,10.099625
2017-18,Cáceres,10.68777922077922
2017-18,Cádiz,10.914349557522124
2017-18,Córdoba,10.956913385826772
2017-18,Gerona,8.918
2017-18,Granada,11.065283464566928
2017-18,Guadalajara,9.63212048192771
2017-18,Gipuzkoa,9.719807339449542
2017-18,Huelva,10.780262295081966
2017-18,Huesca,11.058
2017-18,Baleares,9.943893048128343
2017-18,Jaén,10.749197860962566
2017-18,La Rioja,10.340138686131386
2017-18,Las Palmas,11.023282894736843
2017-18,León,10.719252873563219
2017-18,Lérida,9.7025
2017-18,Lugo,10.987537037037036
2017-18,Madrid,9.387850015660655
2017-18,Melilla,10.375608695652174
2017-18,Murcia,10.95906844106464
2017-18,Málaga,10.943939086294417
2017-18,Navarra,10.154248275862068
2017-18,Orense,11.193
2017-18,Palencia,10.142596153846153
2017-18,Pontevedra,10.22251030927835
2017-18,Salamanca,10.031749999999999
2017-18,Santa Cruz de Tenerife,11.123912386706948
2017-18,Segovia,10.240921397379912
2017-18,Sevilla,11.087786324786325
2017-18,Soria,10.359264367816092
2017-18,Tarragona,9.628
2017-18,Teruel,10.7269
2017-18,Toledo,9.934615975422428
2017-18,Valencia,10.2553828125
2017-18,Valladolid,9.58675816993464
2017-18,Bizkaia,10.665941176470588
2017-18,Zamora,10.34313888888889
2017-18,Zaragoza,10.606835227272727
2017-18,Álava,10.627777777777778
2017-18,Ávila,9.773069518716579
2018-19,La Coruña,10.326657657657657
2018-19,Albacete,10.53203738317757
2018-19,Alicante,10.003589958158997
2018-19,Almería,11.055979797979797
2018-19,Asturias,10.960909090909091
2018-19,Badajoz,11.164973684210526
2018-19,Barcelona,9.133849999999999
2018-19,Burgos,10.041123456790123
2018-19,Cantabria,10.677181818181818
2018-19,Castellón,9.7454375
2018-19,Ceuta,10.557611111111111
2018-19,Ciudad Real,10.342432432432433
2018-19,Cuenca,10.230568965517241
2018-19,Cáceres,10.592081081081082
2018-19,Cádiz,10.851403409090908
2018-19,Córdoba,10.47549494949495
2018-19,Gerona,8.47025
2018-19,Granada,10.767616279069767
2018-19,Guadalajara,9.730415335463258
2018-19,Gipuzkoa,10.542455445544554
2018-19,Huelva,11.067839285714285
2018-19,Huesca,10.8979
2018-19,Baleares,9.655548387096774
2018-19,Jaén,10.961038759689922
2018-19,La Rioja,10.501587155963303
2018-19,Las Palmas,11.134547692307693
2018-19,León,10.24801052631579
2018-19,Lérida,10.3574
2018-19,Lugo,10.47511111111111
2018-19,Madrid,9.490063789494668
2018-19,Melilla,10.190230769230768
2018-19,Murcia,10.85079802955665
2018-19,Málaga,10.63962385321101
2018-19,Navarra,10.29292561983471
2018-19,Orense,10.091565217391304
2018-19,Palencia,8.546990415335463
2018-19,Pontevedra,10.214992805755395
2018-19,Salamanca,10.66871875
2018-19,Santa Cruz de Tenerife,11.14121212121212
2018-19,Segovia,8.750910843373495
2018-19,Sevilla,10.21770297029703
2018-19,Soria,9.275486842105265
2018-19,Tarragona,10.411
2018-19,Teruel,10.867304347826087
2018-19,Toledo,9.922935272045029
2018-19,Valencia,9.936777777777777
2018-19,Valladolid,8.902513048635825
2018-19,Bizkaia,9.32348
2018-19,Zamora,10.332804347826087
2018-19,Zaragoza,10.568566666666667
2018-19,Álava,10.177017857142857
2018-19,Ávila,9.994763358778627
2019-20,La Coruña,10.05624778761062
2019-20,Albacete,10.700052631578947
2019-20,Alicante,10.220638418079096
2019-20,Almería,10.966882352941177
2019-20,Asturias,8.978156862745099
2019-20,Badajoz,11.17093925233645
2019-20,Barcelona,8.785101694915255
2019-20,Burgos,9.3716
2019-20,Cantabria,9.924005555555555
2019-20,Castellón,10.999642857142858
2019-20,Ceuta,11.9232
2019-20,Ciudad Real,10.671170124481328
2019-20,Cuenca,10.168578125
2019-20,Cáceres,10.498122137404579
2019-20,Cádiz,10.560067484662577
2019-20,Córdoba,10.638905882352942
2019-20,Gerona,8.0405
2019-20,Granada,10.628783783783783
2019-20,Guadalajara,9.598897689768977
2019-20,Gipuzkoa,10.299061728395062
2019-20,Huelva,11.278684210526315
2019-20,Huesca,10.372978723404255
2019-20,Baleares,9.703671717171718
2019-20,Jaén,10.825770642201835
2019-20,La Rioja,9.36986956521739
2019-20,Las Palmas,10.730944444444445
2019-20,León,10.148178743961351
2019-20,Lérida,9.814533333333333
2019-20,Lugo,10.105634146341464
2019-20,Madrid,9.56658699051901
2019-20,Melilla,10.167625
2019-20,Murcia,10.977660098522168
2019-20,Málaga,10.86854255319149
2019-20,Navarra,9.022132075471697
2019-20,Orense,9.724891304347825
2019-20,Palencia,8.546832352941175
2019-20,Pontevedra,10.058178807947021
2019-20,Salamanca,9.795444444444446
2019-20,Santa Cruz de Tenerife,10.925461224489796
2019-20,Segovia,9.173657894736841
2019-20,Sevilla,10.556035294117647
2019-20,Soria,9.181991031390135
2019-20,Tarragona,9.08175
