curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2026,0,0,1,0,0,0,1,0,0,0,,11180878,2636,
2026,0,0,1,0,0,1,0,0,0,0,,11180878,2636,
2026,0,0,1,0,0,1,1,1,1,1,,11180878,2636,
2026,0,1,0,0,0,0,0,0,0,1,,10390609,2994,
2026,0,1,0,0,0,0,0,0,1,0,,10390609,2994,
2026,0,1,0,0,0,0,0,1,0,0,,10390609,2994,
2026,0,1,0,0,0,0,1,0,0,0,,10390609,2994,
2026,0,1,0,0,0,1,0,0,0,0,,10390609,2994,
2026,0,1,0,0,0,1,1,1,1,1,,10390609,2994,
2026,1,0,0,0,0,0,0,0,0,1,,7750859,1557,
2026,1,0,0,0,0,0,0,0,1,0,,7750859,1557,
2026,1,0,0,0,0,0,0,1,0,0,,7750859,1557,
2026,1,0,0,0,0,0,1,0,0,0,,7750859,1557,
2026,1,0,0,0,0,1,0,0,0,0,,7750859,1557,
2026,1,0,0,0,0,1,1,1,1,1,,7750859,1557,
2027,0,0,0,0,1,0,0,0,0,1,,5165328,3595,
2027,0,0,0,0,1,0,0,0,1,0,,5165328,3595,
2027,0,0,0,0,1,0,0,1,0,0,,5165328,3595,
2027,0,0,0,0,1,0,1,0,0,0,,5165328,3595,
2027,0,0,0,0,1,1,0,0,0,0,,5165328,3595,
2027,0,0,0,0,1,1,1,1,1,1,,5165328,3595,
2027,0,0,0,1,0,0,0,0,0,1,,9840666,3092,
2027,0,0,0,1,0,0,0,0,1,0,,9840666,3092,
2027,0,0,0,1,0,0,0,1,0,0,,9840666,3092,
2027,0,0,0,1,0,0,1,0,0,0,,9840666,3092,
2027,0,0,0,1,0,1,0,0,0,0,,9840666,3092,
2027,0,0,0,1,0,1,1,1,1,1,,9840666,3092,
2027,0,0,1,0,0,0,0,0,0,1,,11181070,2655,
2027,0,0,1,0,0,0,0,0,1,0,,11181070,2655,
2027,0,0,1,0,0,0,0,1,0,0,,11181070,2655,
2027,0,0,1,0,0,0,1,0,0,0,,11181070,2655,
2027,0,0,1,0,0,1,0,0,0,0,,11181070,2655,
2027,0,0,1,0,0,1,1,1,1,1,,11181070,2655,
2027,0,1,0,0,0,0,0,0,0,1,,10327539,2997,
2027,0,1,0,0,0,0,0,0,1,0,,10327539,2997,
2027,0,1,0,0,0,0,0,1,0,0,,10327539,2997,
2027,0,1,0,0,0,0,1,0,0,0,,10327539,2997,
2027,0,1,0,0,0,1,0,0,0,0,,10327539,2997,
2027,0,1,0,0,0,1,1,1,1,1,,10327539,2997,
2027,1,0,0,0,0,0,0,0,0,1,,7668824,1552,
2027,1,0,0,0,0,0,0,0,1,0,,7668824,1552,
2027,1,0,0,0,0,0,0,1,0,0,,7668824,1552,
2027,1,0,0,0,0,0,1,0,0,0,,7668824,1552,
2027,1,0,0,0,0,1,0,0,0,0,,7668824,1552,
2027,1,0,0,0,0,1,1,1,1,1,,7668824,1552,
2028,0,0,0,0,1,0,0,0,0,1,,5173905,3586,
2028,0,0,0,0,1,0,0,0,1,0,,5173905,3586,
2028,0,0,0,0,1,0,0,1,0,0,,5173905,3586,
2028,0,0,0,0,1,0,1,0,0,0,,5173905,3586,
2028,0,0,0,0,1,1,0,0,0,0,,5173905,3586,
2028,0,0,0,0,1,1,1,1,1,1,,5173905,3586,
2028,0,0,0,1,0,0,0,0,0,1,,9823401,3046,
2028,0,0,0,1,0,0,0,0,1,0,,9823401,3046,
2028,0,0,0,1,0,0,0,1,0,0,,9823401,3046,
2028,0,0,0,1,0,0,1,0,0,0,,9823401,3046,
2028,0,0,0,1,0,1,0,0,0,0,,9823401,3046,
2028,0,0,0,1,0,1,1,1,1,1,,9823401,3046,
2028,0,0,1,0,0,0,0,0,0,1,,11210076,2669,
2028,0,0,1,0,0,0,0,0,1,0,,11210076,2669,
2028,0,0,1,0,0,0,0,1,0,0,,11210076,2669,
2028,0,0,1,0,0,0,1,0,0,0,,11210076,2669,
2028,0,0,1,0,0,1,0,0,0,0,,11210076,2669,
2028,0,0,1,0,0,1,1,1,1,1,,11210076,2669,
2028,0,1,0,0,0,0,0,0,0,1,,10409932,3028,
2028,0,1,0,0,0,0,0,0,1,0,,10409932,3028,
2028,0,1,0,0,0,0,0,1,0,0,,10409932,3028,
2028,0,1,0,0,0,0,1,0,0,0,,10409932,3028,
2028,0,1,0,0,0,1,0,0,0,0,,10409932,3028,
2028,0,1,0,0,0,1,1,1,1,1,,10409932,3028,
2028,1,0,0,0,0,0,0,0,0,1,,7643551,1552,
2028,1,0,0,0,0,0,0,0,1,0,,7643551,1552,
2028,1,0,0,0,0,0,0,1,0,0,,7643551,1552,
2028,1,0,0,0,0,0,1,0,0,0,,7643551,1552,
2028,1,0,0,0,0,1,0,0,0,0,,7643551,1552,
2028,1,0,0,0,0,1,1,1,1,1,,7643551,1552,
